t,ax,ay,az,gx,gy,gz,m1,m2,m3,q0,q1,q2,q3,y,p,r
5326264,991.58,-53.34,-159.30,0.71,-1.01,-0.02,14,66,266,0.05,-0.76,-0.02,-0.65,-9.61,-80.58,-162.34
5346492,991.33,-64.21,-157.59,0.74,-1.03,0.02,14,66,266,0.05,-0.76,-0.01,-0.65,-10.09,-80.52,-161.78
5367488,996.09,-41.38,-150.88,0.02,-1.13,0.44,14,66,266,0.05,-0.76,-0.01,-0.65,-10.13,-80.51,-161.82
5387780,999.27,-49.32,-145.39,0.23,-1.21,0.35,14,66,266,0.04,-0.76,-0.01,-0.65,-10.16,-80.59,-161.87
5408072,994.02,-66.04,-157.96,1.21,-0.96,0.05,14,66,266,0.05,-0.76,-0.01,-0.65,-10.63,-80.58,-161.31
5428352,989.75,-53.83,-162.35,1.16,-0.95,0.35,14,66,266,0.05,-0.76,-0.01,-0.65,-10.82,-80.50,-161.10
5448676,1000.37,-51.51,-148.19,0.76,-1.21,0.54,14,66,266,0.04,-0.76,-0.01,-0.65,-10.79,-80.54,-161.20
5466248,996.70,-56.88,-143.19,1.65,-1.21,0.01,14,66,266,0.04,-0.76,-0.01,-0.65,-11.08,-80.62,-160.85
5487220,989.75,-56.88,-149.90,2.87,-1.15,0.40,14,66,266,0.05,-0.76,-0.01,-0.65,-11.39,-80.64,-160.45
5504720,989.50,-37.35,-151.12,2.50,-1.30,0.59,14,66,266,0.04,-0.76,-0.01,-0.65,-11.19,-80.65,-160.73
5525696,1000.24,-39.43,-142.09,2.33,-1.50,0.61,14,66,266,0.04,-0.76,-0.01,-0.65,-10.50,-80.75,-161.68
5546032,997.92,-56.27,-147.95,3.27,-1.50,-0.08,14,66,266,0.04,-0.76,-0.01,-0.65,-10.66,-80.80,-161.47
5587596,988.65,-72.51,-158.45,3.02,-1.35,0.37,14,66,266,0.05,-0.76,-0.01,-0.65,-11.86,-80.58,-159.86
5608632,997.80,-38.33,-146.12,0.22,-1.70,0.72,14,66,266,0.04,-0.76,-0.01,-0.65,-11.37,-80.63,-160.57
5629684,1000.12,-62.87,-145.14,0.92,-1.82,0.23,14,66,266,0.04,-0.76,-0.01,-0.65,-11.41,-80.70,-160.57
5650108,990.48,-72.14,-152.34,1.34,-1.64,0.24,14,66,266,0.04,-0.76,-0.01,-0.65,-12.10,-80.64,-159.68
5670444,989.50,-47.97,-156.98,0.79,-1.46,0.65,14,66,266,0.04,-0.76,-0.01,-0.65,-12.17,-80.57,-159.61
5690784,991.82,-23.07,-153.56,0.27,-1.58,1.01,14,66,266,0.04,-0.76,-0.01,-0.65,-11.27,-80.61,-160.85
5711112,998.54,-44.19,-145.51,1.04,-1.66,0.66,14,66,266,0.04,-0.76,-0.01,-0.65,-10.78,-80.68,-161.56
5731496,999.63,-77.88,-145.87,1.73,-1.64,0.17,14,66,266,0.04,-0.76,-0.01,-0.65,-11.56,-80.68,-160.52
5751884,990.60,-80.93,-154.42,1.63,-1.40,0.28,14,66,266,0.04,-0.76,-0.01,-0.65,-12.64,-80.58,-159.08
5772908,998.17,-47.36,-155.76,-0.21,-1.56,0.98,14,66,266,0.04,-0.76,-0.01,-0.65,-12.70,-80.51,-159.03
5793172,996.34,-45.41,-151.49,-1.34,-1.86,0.65,14,66,266,0.04,-0.76,-0.01,-0.65,-12.29,-80.54,-159.64
5814208,995.36,-59.20,-151.98,-1.33,-1.85,0.56,14,66,266,0.04,-0.76,-0.01,-0.65,-12.19,-80.53,-159.84
5834536,991.70,-64.45,-155.52,-1.06,-1.75,0.47,14,66,266,0.04,-0.76,-0.01,-0.65,-12.44,-80.47,-159.56
5854844,996.95,-48.46,-149.17,-0.50,-1.74,0.40,14,66,266,0.04,-0.76,-0.01,-0.65,-12.21,-80.51,-159.91
5875152,999.76,-64.70,-149.54,0.36,-1.87,0.18,14,66,266,0.04,-0.76,-0.01,-0.65,-12.33,-80.54,-159.77
5892704,991.58,-84.59,-156.98,0.07,-1.84,-0.31,14,66,266,0.04,-0.76,-0.01,-0.65,-13.09,-80.45,-158.76
5913152,990.60,-74.22,-155.88,-1.62,-1.82,0.16,14,66,266,0.04,-0.76,-0.00,-0.65,-13.64,-80.34,-158.06
5930748,994.63,-51.39,-151.49,-2.71,-1.92,0.39,14,66,266,0.04,-0.76,-0.00,-0.65,-13.56,-80.33,-158.23
5951136,997.68,-38.70,-150.76,-1.63,-1.66,0.09,14,66,266,0.04,-0.76,-0.00,-0.65,-12.68,-80.44,-159.46
5971528,996.95,-65.43,-154.30,-0.64,-1.56,-0.47,14,66,266,0.04,-0.76,-0.00,-0.65,-12.67,-80.46,-159.50
5991972,985.72,-64.21,-158.57,-1.43,-1.43,-0.31,14,66,266,0.04,-0.76,-0.00,-0.65,-12.82,-80.39,-159.33
6013168,993.29,-35.40,-153.44,-2.88,-1.53,0.26,14,66,266,0.04,-0.76,-0.00,-0.65,-12.42,-80.40,-159.92
6033560,997.68,-41.38,-146.12,-2.59,-1.46,-0.01,14,66,266,0.04,-0.76,-0.01,-0.65,-11.78,-80.51,-160.83
6053992,989.14,-59.69,-151.61,-1.14,-1.40,-0.01,14,66,266,0.04,-0.76,-0.00,-0.65,-11.91,-80.54,-160.68
6074436,987.55,-51.76,-158.57,-0.79,-1.27,0.21,14,66,266,0.04,-0.76,-0.00,-0.65,-11.87,-80.50,-160.74
6094876,993.16,-34.42,-151.98,-1.50,-1.23,0.37,14,66,266,0.04,-0.76,-0.01,-0.65,-11.25,-80.54,-161.60
6115244,995.36,-44.68,-147.95,-1.65,-1.34,0.37,14,66,266,0.04,-0.76,-0.01,-0.65,-10.91,-80.61,-162.09
6135616,993.16,-63.35,-152.10,-1.56,-1.12,0.40,14,66,266,0.04,-0.76,-0.00,-0.65,-11.39,-80.59,-161.47
6156772,995.61,-53.47,-151.73,-2.15,-1.21,1.08,14,66,266,0.04,-0.76,-0.00,-0.65,-11.78,-80.57,-160.97
6177200,992.92,-37.35,-147.71,-1.79,-1.30,0.88,14,66,266,0.04,-0.76,-0.00,-0.65,-11.51,-80.64,-161.37
6197616,992.80,-44.43,-152.34,-0.54,-1.34,0.65,14,66,266,0.04,-0.76,-0.00,-0.65,-11.18,-80.68,-161.82
6218056,991.58,-55.91,-154.91,-0.82,-1.35,0.98,14,66,266,0.04,-0.76,-0.00,-0.65,-11.20,-80.65,-161.79
6238428,1002.56,-86.67,-150.39,-1.29,-1.53,0.53,14,66,266,0.04,-0.76,-0.00,-0.65,-12.34,-80.58,-160.28
6258868,999.15,-96.80,-150.51,-0.62,-1.24,0.05,14,66,266,0.04,-0.76,-0.00,-0.65,-13.69,-80.50,-158.49
6279284,991.82,-91.19,-161.25,-0.43,-1.36,-0.02,14,66,266,0.04,-0.76,-0.00,-0.65,-14.71,-80.36,-157.11
6300444,995.36,-43.95,-154.79,-1.85,-1.61,0.20,14,66,266,0.04,-0.76,-0.00,-0.65,-14.54,-80.30,-157.34
6318028,996.46,-31.86,-146.73,-1.93,-1.79,0.12,14,66,266,0.04,-0.76,-0.00,-0.65,-13.68,-80.40,-158.51
6338404,992.68,-34.91,-146.85,-0.57,-1.61,-0.21,14,66,266,0.04,-0.76,-0.00,-0.65,-12.72,-80.54,-159.79
6355992,991.09,-52.61,-150.15,0.79,-1.49,-0.06,14,66,266,0.04,-0.76,-0.00,-0.65,-12.35,-80.57,-160.26
6376264,998.78,-65.80,-154.66,0.57,-1.52,0.00,14,66,266,0.04,-0.76,-0.00,-0.65,-12.49,-80.55,-160.04
6397252,997.56,-73.97,-148.19,-0.28,-1.79,-0.16,14,66,266,0.04,-0.76,-0.00,-0.65,-13.07,-80.53,-159.26
6417672,993.90,-73.61,-149.78,-0.68,-1.82,-0.03,14,66,266,0.04,-0.76,-0.00,-0.65,-13.60,-80.50,-158.54
6438068,989.26,-39.92,-151.86,-1.14,-1.96,0.33,14,66,266,0.04,-0.76,-0.00,-0.65,-13.11,-80.50,-159.20
6458428,989.87,-25.27,-149.41,-0.90,-2.07,0.48,14,66,266,0.04,-0.76,-0.00,-0.65,-12.08,-80.58,-160.59
6478776,1000.85,-50.54,-146.36,0.85,-1.94,-0.04,14,66,266,0.04,-0.76,-0.00,-0.65,-11.68,-80.65,-161.10
6500000,989.14,-76.78,-157.84,2.11,-1.75,-0.26,14,66,266,0.04,-0.76,-0.00,-0.65,-12.23,-80.60,-160.32
6538092,990.60,-65.43,-161.38,1.06,-1.84,0.16,14,66,266,0.04,-0.76,-0.00,-0.65,-12.74,-80.39,-159.58
